BatchName,Semester,Courses[]
CS-A-2024,1,CS101;MATH201;ENG101;PHYS101;STAT201;PHIL101;NaN;NaN
CS-B-2024,1,CS101;MATH201;ENG101;PHYS101;STAT201;PHIL101;NaN;NaN
CS-C-2024,1,CS101;MATH201;ENG101;PHYS101;STAT201;PHIL101;NaN;NaN
CS-A-2024,2,CS102;MATH202;CS201;HIST201;ECON101;NaN;NaN;NaN
CS-B-2024,2,CS102;MATH202;CS201;HIST201;ECON101;NaN;NaN;NaN
CS-C-2024,2,CS102;MATH202;CS201;HIST201;ECON101;NaN;NaN;NaN
CS-A-2024,3,CS202;CS203;MATH203;CS301;ENG201;NaN;NaN;NaN
CS-B-2024,3,CS202;CS203;MATH203;CS301;ENG201;NaN;NaN;NaN
CS-C-2024,3,CS202;CS203;MATH203;CS301;ENG201;NaN;NaN;NaN
CS-A-2024,4,CS302;CS303;CS304;MATH301;HIST202;NaN;NaN;NaN
CS-B-2024,4,CS302;CS303;CS304;MATH301;HIST202;NaN;NaN;NaN
CS-C-2024,4,CS302;CS303;CS304;MATH301;HIST202;NaN;NaN;NaN
EE-A-2024,1,MATH201;PHYS101;ENG101;CHEM101;EE101;STAT201;NaN;NaN
EE-B-2024,1,MATH201;PHYS101;ENG101;CHEM101;EE101;STAT201;NaN;NaN
EE-C-2024,1,MATH201;PHYS101;ENG101;CHEM101;EE101;STAT201;NaN;NaN
EE-A-2024,2,MATH202;PHYS201;EE201;EE202;HIST201;NaN;NaN;NaN
EE-B-2024,2,MATH202;PHYS201;EE201;EE202;HIST201;NaN;NaN;NaN
EE-C-2024,2,MATH202;PHYS201;EE201;EE202;HIST201;NaN;NaN;NaN
EE-A-2024,3,MATH203;PHYS202;EE301;EE302;ECON101;NaN;NaN;NaN
EE-B-2024,3,MATH203;PHYS202;EE301;EE302;ECON101;NaN;NaN;NaN
EE-C-2024,3,MATH203;PHYS202;EE301;EE302;ECON101;NaN;NaN;NaN
ME-A-2024,1,MATH201;PHYS101;ENG101;CHEM101;ME101;STAT201;NaN;NaN
ME-B-2024,1,MATH201;PHYS101;ENG101;CHEM101;ME101;STAT201;NaN;NaN
ME-C-2024,1,MATH201;PHYS101;ENG101;CHEM101;ME101;STAT201;NaN;NaN
ME-A-2024,2,MATH202;PHYS201;ME201;ME202;HIST201;NaN;NaN;NaN
ME-B-2024,2,MATH202;PHYS201;ME201;ME202;HIST201;NaN;NaN;NaN
ME-C-2024,2,MATH202;PHYS201;ME201;ME202;HIST201;NaN;NaN;NaN
ME-A-2024,3,MATH203;PHYS202;ME301;ECON101;ENG201;NaN;NaN;NaN
ME-B-2024,3,MATH203;PHYS202;ME301;ECON101;ENG201;NaN;NaN;NaN
ME-C-2024,3,MATH203;PHYS202;ME301;ECON101;ENG201;NaN;NaN;NaN
CE-A-2024,1,MATH201;PHYS101;ENG101;CHEM101;CE101;STAT201;NaN;NaN
CE-B-2024,1,MATH201;PHYS101;ENG101;CHEM101;CE101;STAT201;NaN;NaN
CE-C-2024,1,MATH201;PHYS101;ENG101;CHEM101;CE101;STAT201;NaN;NaN
CE-A-2024,2,MATH202;PHYS201;CE201;CE202;HIST201;NaN;NaN;NaN
CE-B-2024,2,MATH202;PHYS201;CE201;CE202;HIST201;NaN;NaN;NaN
CE-C-2024,2,MATH202;PHYS201;CE201;CE202;HIST201;NaN;NaN;NaN
CE-A-2024,3,MATH203;CE301;ECON101;ENG201;NaN;NaN;NaN;NaN
CE-B-2024,3,MATH203;CE301;ECON101;ENG201;NaN;NaN;NaN;NaN
CE-C-2024,3,MATH203;CE301;ECON101;ENG201;NaN;NaN;NaN;NaN
BIO-A-2024,1,BIO101;CHEM101;MATH201;ENG101;PHYS101;STAT201;NaN;NaN
BIO-B-2024,1,BIO101;CHEM101;MATH201;ENG101;PHYS101;STAT201;NaN;NaN
BIO-C-2024,1,BIO101;CHEM101;MATH201;ENG101;PHYS101;STAT201;NaN;NaN
BIO-A-2024,2,BIO201;BIO202;CHEM201;MATH202;HIST201;NaN;NaN;NaN
BIO-B-2024,2,BIO201;BIO202;CHEM201;MATH202;HIST201;NaN;NaN;NaN
BIO-C-2024,2,BIO201;BIO202;CHEM201;MATH202;HIST201;NaN;NaN;NaN
BIO-A-2024,3,BIO301;BIO302;CHEM202;MATH203;ECON101;NaN;NaN;NaN
BIO-B-2024,3,BIO301;BIO302;CHEM202;MATH203;ECON101;NaN;NaN;NaN
BIO-C-2024,3,BIO301;BIO302;CHEM202;MATH203;ECON101;NaN;NaN;NaN
CHEM-A-2024,1,CHEM101;MATH201;PHYS101;ENG101;BIO101;STAT201;NaN;NaN
CHEM-B-2024,1,CHEM101;MATH201;PHYS101;ENG101;BIO101;STAT201;NaN;NaN
CHEM-C-2024,1,CHEM101;MATH201;PHYS101;ENG101;BIO101;STAT201;NaN;NaN
CHEM-A-2024,2,CHEM201;CHEM202;MATH202;PHYS201;HIST201;NaN;NaN;NaN
CHEM-B-2024,2,CHEM201;CHEM202;MATH202;PHYS201;HIST201;NaN;NaN;NaN
CHEM-C-2024,2,CHEM201;CHEM202;MATH202;PHYS201;HIST201;NaN;NaN;NaN
CHEM-A-2024,3,CHEM301;MATH203;PHYS202;ECON101;ENG201;NaN;NaN;NaN
CHEM-B-2024,3,CHEM301;MATH203;PHYS202;ECON101;ENG201;NaN;NaN;NaN
CHEM-C-2024,3,CHEM301;MATH203;PHYS202;ECON101;ENG201;NaN;NaN;NaN
MATH-A-2024,1,MATH201;PHYS101;ENG101;CS101;STAT201;PHIL101;NaN;NaN
MATH-B-2024,1,MATH201;PHYS101;ENG101;CS101;STAT201;PHIL101;NaN;NaN
MATH-C-2024,1,MATH201;PHYS101;ENG101;CS101;STAT201;PHIL101;NaN;NaN
MATH-A-2024,2,MATH202;MATH203;PHYS201;CS102;HIST201;NaN;NaN;NaN
MATH-B-2024,2,MATH202;MATH203;PHYS201;CS102;HIST201;NaN;NaN;NaN
MATH-C-2024,2,MATH202;MATH203;PHYS201;CS102;HIST201;NaN;NaN;NaN
MATH-A-2024,3,MATH301;MATH302;PHYS202;CS201;ECON101;NaN;NaN;NaN
