BatchName,CourseCode,CourseName,Day,StartTime,EndTime,Duration,Room,Type
BIO-A-2024,MATH201,Calculus I,Monday,08:00,09:30,1.5,G01,Lecture
BIO-A-2024,PHYS101,Physics Fundamentals,Monday,10:00,11:30,1.5,G01,Lecture
BIO-A-2024,BIO101,Introduction to Biology,Monday,12:00,13:30,1.5,G01,Lecture
BIO-A-2024,BIO201,Cell Biology,Monday,13:30,16:30,3.0,CL01,Lab
BIO-A-2024,BIO202,Genetics,Monday,16:30,18:00,1.5,G01,Lecture
BIO-A-2024,ENG101,English Composition,Tuesday,08:00,10:00,2.0,G01,Lecture
BIO-A-2024,BIO202,Genetics,Tuesday,10:00,11:30,1.5,G01,Lecture
BIO-A-2024,BIO101,Introduction to Biology,Tuesday,12:00,13:30,1.5,G01,Lecture
BIO-A-2024,STAT201,Statistics,Tuesday,14:00,15:30,1.5,G01,Lecture
BIO-A-2024,CHEM201,Organic Chemistry,Tuesday,15:30,17:00,1.5,G01,Lecture
BIO-A-2024,PHYS101,Physics Fundamentals,Wednesday,08:00,09:30,1.5,G01,Lecture
BIO-A-2024,STAT201,Statistics,Wednesday,10:00,11:30,1.5,G01,Lecture
BIO-A-2024,CHEM101,General Chemistry,Wednesday,12:00,13:30,1.5,G01,Lecture
BIO-A-2024,BIO202,Genetics,Wednesday,13:30,16:30,3.0,CL01,Lab
BIO-A-2024,CHEM201,Organic Chemistry,Wednesday,16:30,18:00,1.5,G01,Lecture
BIO-A-2024,PHYS101,Physics Fundamentals,Thursday,08:00,11:00,3.0,CL01,Lab
BIO-A-2024,CHEM101,General Chemistry,Thursday,12:00,13:30,1.5,G01,Lecture
BIO-A-2024,BIO201,Cell Biology,Thursday,14:00,15:30,1.5,G01,Lecture
BIO-A-2024,MATH202,Calculus II,Thursday,15:30,17:00,1.5,G01,Lecture
BIO-A-2024,CHEM101,General Chemistry,Friday,08:00,11:00,3.0,CL01,Lab
BIO-A-2024,MATH201,Calculus I,Friday,12:00,13:30,1.5,G01,Lecture
BIO-A-2024,BIO201,Cell Biology,Friday,14:00,15:30,1.5,G01,Lecture
BIO-A-2024,MATH202,Calculus II,Friday,15:30,17:00,1.5,G01,Lecture
BIO-B-2024,MATH201,Calculus I,Monday,08:00,09:30,1.5,G02,Lecture
BIO-B-2024,PHYS101,Physics Fundamentals,Monday,10:00,11:30,1.5,G02,Lecture
BIO-B-2024,BIO101,Introduction to Biology,Monday,12:00,13:30,1.5,G02,Lecture
BIO-B-2024,BIO201,Cell Biology,Monday,13:30,16:30,3.0,CL02,Lab
BIO-B-2024,BIO202,Genetics,Monday,16:30,18:00,1.5,G02,Lecture
BIO-B-2024,ENG101,English Composition,Tuesday,08:00,10:00,2.0,G02,Lecture
BIO-B-2024,BIO202,Genetics,Tuesday,10:00,11:30,1.5,G02,Lecture
BIO-B-2024,BIO101,Introduction to Biology,Tuesday,12:00,13:30,1.5,G02,Lecture
BIO-B-2024,STAT201,Statistics,Tuesday,14:00,15:30,1.5,G02,Lecture
BIO-B-2024,CHEM201,Organic Chemistry,Tuesday,15:30,17:00,1.5,G02,Lecture
BIO-B-2024,PHYS101,Physics Fundamentals,Wednesday,08:00,09:30,1.5,G02,Lecture
BIO-B-2024,STAT201,Statistics,Wednesday,10:00,11:30,1.5,G02,Lecture
BIO-B-2024,CHEM101,General Chemistry,Wednesday,12:00,13:30,1.5,G02,Lecture
BIO-B-2024,BIO202,Genetics,Wednesday,13:30,16:30,3.0,CL02,Lab
BIO-B-2024,CHEM201,Organic Chemistry,Wednesday,16:30,18:00,1.5,G02,Lecture
BIO-B-2024,PHYS101,Physics Fundamentals,Thursday,08:00,11:00,3.0,CL02,Lab
BIO-B-2024,CHEM101,General Chemistry,Thursday,12:00,13:30,1.5,G02,Lecture
BIO-B-2024,BIO201,Cell Biology,Thursday,14:00,15:30,1.5,G02,Lecture
BIO-B-2024,MATH202,Calculus II,Thursday,15:30,17:00,1.5,G02,Lecture
BIO-B-2024,CHEM101,General Chemistry,Friday,08:00,11:00,3.0,CL02,Lab
BIO-B-2024,MATH201,Calculus I,Friday,12:00,13:30,1.5,G02,Lecture
BIO-B-2024,BIO201,Cell Biology,Friday,14:00,15:30,1.5,G02,Lecture
BIO-B-2024,MATH202,Calculus II,Friday,15:30,17:00,1.5,G02,Lecture
BIO-C-2024,MATH201,Calculus I,Monday,08:00,09:30,1.5,G03,Lecture
BIO-C-2024,PHYS101,Physics Fundamentals,Monday,10:00,11:30,1.5,G03,Lecture
BIO-C-2024,BIO101,Introduction to Biology,Monday,12:00,13:30,1.5,G03,Lecture
BIO-C-2024,BIO201,Cell Biology,Monday,13:30,16:30,3.0,CL03,Lab
BIO-C-2024,BIO202,Genetics,Monday,16:30,18:00,1.5,G03,Lecture
BIO-C-2024,ENG101,English Composition,Tuesday,08:00,10:00,2.0,G03,Lecture
BIO-C-2024,BIO202,Genetics,Tuesday,10:00,11:30,1.5,G03,Lecture
BIO-C-2024,BIO101,Introduction to Biology,Tuesday,12:00,13:30,1.5,G03,Lecture
BIO-C-2024,STAT201,Statistics,Tuesday,14:00,15:30,1.5,G03,Lecture
BIO-C-2024,CHEM201,Organic Chemistry,Tuesday,15:30,17:00,1.5,G03,Lecture
BIO-C-2024,PHYS101,Physics Fundamentals,Wednesday,08:00,09:30,1.5,G03,Lecture
BIO-C-2024,STAT201,Statistics,Wednesday,10:00,11:30,1.5,G03,Lecture
BIO-C-2024,CHEM101,General Chemistry,Wednesday,12:00,13:30,1.5,G03,Lecture
BIO-C-2024,BIO202,Genetics,Wednesday,13:30,16:30,3.0,CL03,Lab
BIO-C-2024,CHEM201,Organic Chemistry,Wednesday,16:30,18:00,1.5,G03,Lecture
BIO-C-2024,PHYS101,Physics Fundamentals,Thursday,08:00,11:00,3.0,CL03,Lab
BIO-C-2024,CHEM101,General Chemistry,Thursday,12:00,13:30,1.5,G03,Lecture
BIO-C-2024,BIO201,Cell Biology,Thursday,14:00,15:30,1.5,G03,Lecture
BIO-C-2024,MATH202,Calculus II,Thursday,15:30,17:00,1.5,G03,Lecture
BIO-C-2024,CHEM101,General Chemistry,Friday,08:00,11:00,3.0,CL03,Lab
BIO-C-2024,MATH201,Calculus I,Friday,12:00,13:30,1.5,G03,Lecture
BIO-C-2024,BIO201,Cell Biology,Friday,14:00,15:30,1.5,G03,Lecture
BIO-C-2024,MATH202,Calculus II,Friday,15:30,17:00,1.5,G03,Lecture
CE-A-2024,CHEM101,General Chemistry,Monday,08:00,09:30,1.5,G04,Lecture
CE-A-2024,CHEM101,General Chemistry,Monday,10:00,11:30,1.5,G04,Lecture
CE-A-2024,MATH201,Calculus I,Monday,12:00,13:30,1.5,G04,Lecture
CE-A-2024,MATH202,Calculus II,Monday,13:30,15:00,1.5,G01,Lecture
CE-A-2024,PHYS201,Mechanics,Monday,15:00,16:30,1.5,G01,Lecture
CE-A-2024,PHYS201,Mechanics,Monday,16:30,18:00,1.5,G04,Lecture
CE-A-2024,CHEM101,General Chemistry,Tuesday,08:00,11:00,3.0,CL01,Lab
CE-A-2024,MATH201,Calculus I,Tuesday,12:00,13:30,1.5,G04,Lecture
CE-A-2024,MATH202,Calculus II,Tuesday,14:00,15:30,1.5,G04,Lecture
CE-A-2024,CE201,Structural Analysis,Tuesday,15:30,17:00,1.5,G04,Lecture
CE-A-2024,CE101,Introduction to Civil Engineering,Wednesday,08:00,09:30,1.5,G04,Lecture
CE-A-2024,CE101,Introduction to Civil Engineering,Wednesday,10:00,11:30,1.5,G04,Lecture
CE-A-2024,PHYS101,Physics Fundamentals,Wednesday,12:00,13:30,1.5,G04,Lecture
CE-A-2024,PHYS201,Mechanics,Wednesday,13:30,16:30,3.0,CL04,Lab
CE-A-2024,CE201,Structural Analysis,Wednesday,16:30,18:00,1.5,G04,Lecture
CE-A-2024,STAT201,Statistics,Thursday,08:00,09:30,1.5,G01,Lecture
CE-A-2024,STAT201,Statistics,Thursday,10:00,11:30,1.5,G01,Lecture
CE-A-2024,PHYS101,Physics Fundamentals,Thursday,12:00,13:30,1.5,G04,Lecture
CE-A-2024,CE201,Structural Analysis,Thursday,13:30,16:30,3.0,CL01,Lab
CE-A-2024,CE202,Geotechnical Engineering,Thursday,16:30,18:00,1.5,G04,Lecture
CE-A-2024,PHYS101,Physics Fundamentals,Friday,08:00,11:00,3.0,CL04,Lab
CE-A-2024,ENG101,English Composition,Friday,12:00,14:00,2.0,G04,Lecture
CE-A-2024,CE202,Geotechnical Engineering,Friday,14:00,15:30,1.5,G04,Lecture
CE-A-2024,HIST201,World History,Friday,15:30,17:00,1.5,G04,Lecture
CE-B-2024,CHEM101,General Chemistry,Monday,08:00,09:30,1.5,G05,Lecture
CE-B-2024,CHEM101,General Chemistry,Monday,10:00,11:30,1.5,G05,Lecture
CE-B-2024,MATH201,Calculus I,Monday,12:00,13:30,1.5,G05,Lecture
CE-B-2024,MATH202,Calculus II,Monday,13:30,15:00,1.5,G02,Lecture
CE-B-2024,PHYS201,Mechanics,Monday,15:00,16:30,1.5,G02,Lecture
CE-B-2024,PHYS201,Mechanics,Monday,16:30,18:00,1.5,G05,Lecture
CE-B-2024,CHEM101,General Chemistry,Tuesday,08:00,11:00,3.0,CL02,Lab
CE-B-2024,MATH201,Calculus I,Tuesday,12:00,13:30,1.5,G05,Lecture
CE-B-2024,MATH202,Calculus II,Tuesday,14:00,15:30,1.5,G05,Lecture
CE-B-2024,CE201,Structural Analysis,Tuesday,15:30,17:00,1.5,G05,Lecture
CE-B-2024,CE101,Introduction to Civil Engineering,Wednesday,08:00,09:30,1.5,G05,Lecture
CE-B-2024,CE101,Introduction to Civil Engineering,Wednesday,10:00,11:30,1.5,G05,Lecture
CE-B-2024,PHYS101,Physics Fundamentals,Wednesday,12:00,13:30,1.5,G05,Lecture
CE-B-2024,PHYS201,Mechanics,Wednesday,13:30,16:30,3.0,CL05,Lab
CE-B-2024,CE201,Structural Analysis,Wednesday,16:30,18:00,1.5,G05,Lecture
CE-B-2024,STAT201,Statistics,Thursday,08:00,09:30,1.5,G02,Lecture
CE-B-2024,STAT201,Statistics,Thursday,10:00,11:30,1.5,G02,Lecture
CE-B-2024,PHYS101,Physics Fundamentals,Thursday,12:00,13:30,1.5,G05,Lecture
CE-B-2024,CE201,Structural Analysis,Thursday,13:30,16:30,3.0,CL02,Lab
CE-B-2024,CE202,Geotechnical Engineering,Thursday,16:30,18:00,1.5,G05,Lecture
CE-B-2024,PHYS101,Physics Fundamentals,Friday,08:00,11:00,3.0,CL05,Lab
CE-B-2024,ENG101,English Composition,Friday,12:00,14:00,2.0,G05,Lecture
CE-B-2024,CE202,Geotechnical Engineering,Friday,14:00,15:30,1.5,G05,Lecture
CE-B-2024,HIST201,World History,Friday,15:30,17:00,1.5,G05,Lecture
CE-C-2024,CHEM101,General Chemistry,Monday,08:00,09:30,1.5,G06,Lecture
CE-C-2024,CHEM101,General Chemistry,Monday,10:00,11:30,1.5,G06,Lecture
